ID,CURR_AGE,GENDER,ANN_INCOME,AGE_CAR,PURCHASE
00001Q15YJ,50,M,"445,344",439,0
00003I71CQ,35,M,"107,634",283,0
00003N47FS,59,F,"502,787",390,1
00005H41DE,43,M,"585,664",475,0
00007E17UM,39,F,"705,723",497,1
00007I26OR,28,F,"389,995",443,1
00015B11UO,54,M,"85,056",425,0
00020K99TA,28,F,"453,584",173,0
00020W72QC,25,F,"324,575",300,0
00022F48XA,47,M,"363,206",474,1
00026X43XZ,61,M,"292,983",210,0
00031Q27QZ,33,F,"438,941",100,1
00032B38ZX,50,M,"478,445",329,1
00033C02IM,25,M,"277,729",430,1
00034P01OK,45,M,"385,604",492,1
00038B31VO,51,F,"159,413",585,1
00039X03RX,25,M,"227,439",23,0
00040B49KN,43,M,"572,440",356,0
00040O73KD,35,M,"240,251",536,1
00045U73GK,58,F,"205,192",876,1
00049M22HG,35,M,"108,590",400,0
00052E59WH,53,F,"436,709",510,1
00056R56IH,53,F,"370,768",96,0
00057N31MO,30,F,"396,397",285,1
00059Q04KC,49,F,"458,992",265,0
00061K54RB,43,M,"485,917",273,1
00062R49DY,37,M,"361,216",243,0
00067S81IY,26,F,"341,240",377,0
00069Q75MB,35,F,"277,725",106,0
00069R58QN,51,M,"607,229",485,0
00070L09VD,40,M,"328,247",336,0
00073G60ML,64,F,"358,005",426,1
00074E80ZM,59,M,"450,981",258,1
00078B50YA,34,F,"216,371",231,0
00083A72KE,50,F,"730,685",406,1
00085N14CA,34,M,"146,852",357,0
00086Y65GU,65,F,"420,083",666,0
00088T31UB,51,F,"131,949",783,1
00090Q78CZ,62,F,"136,267",390,0
00091B82ZO,65,F,"409,160",228,1
00093J67SK,52,M,"256,962",139,0
00095Q17AL,25,F,"365,515",236,0
00099K86CW,62,M,"682,251",344,0
00101P10AC,47,M,"184,303",385,1
00104R23KJ,41,F,"366,200",370,1
00105P34KP,39,M,"793,683",943,1
00105Z55XB,28,F,"134,835",313,0
00107Y54OB,27,M,"192,229",805,1
00108X61TB,29,M,"218,007",431,1
00111A34ML,42,M,"442,952",213,0
00113N53ZL,59,M,"669,568",276,1
00115C31GT,25,F,"387,785",477,1
00118J08EC,47,F,"275,520",304,0
00122X31AB,58,F,"401,832",225,0
00124L11WJ,50,M,"576,933",132,1
00126P38RZ,59,M,"396,243",95,1
00127P24GO,37,M,"234,791",277,1
